apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Nevado del Campo,Vox,"Nevado del Campo, María Magdalena",2,27/11/2019,VOX,10,Cáceres,María Magdalena,293,1973-05-28,['XIV'],magdalena.nevado@congreso.es,www.congreso.es/docu/imgweb/diputados/293_14.jpg,https://twitter.com/malenanevado,,,,,,,,XIV,https://www.instagram.com/malenanevado99/,,,,,,,,,49
Nogueras i Camero,JxCat-JUNTS (Junts),"Nogueras i Camero, Míriam",2,19/11/2019,Plural,8,Barcelona,Míriam,27,1980-05-11,"['XI', 'XII', 'XIII', 'XIV']",nogueras@congreso.es,www.congreso.es/docu/imgweb/diputados/27_14.jpg,https://twitter.com/miriamnoguerasM,,,,,XI,XII,XIII,XIV,,,,,,,,,,42
Olano Vela,PP,"Olano Vela, Jaime Eduardo de",1,25/11/2019,Popular en el Congreso,27,Lugo,Jaime Eduardo de,167,1970-07-06,"['X', 'XI', 'XII', 'XIII', 'XIV']",jaime.olano@congreso.es,www.congreso.es/docu/imgweb/diputados/167_14.jpg,https://twitter.com/jaimedeolano,https://www.facebook.com/jaime.deolanovela,,,X,XI,XII,XIII,XIV,https://www.instagram.com/jaimedeolanopp/,,,,,,,,,52
Oramas González-Moro,CCa-PNC-NC,"Oramas González-Moro, Ana María",2,25/11/2019,Mixto,38,S/C Tenerife,Ana María,161,1959-07-17,"['VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",ana.oramas@congreso.es,www.congreso.es/docu/imgweb/diputados/161_14.jpg,https://twitter.com/anioramas,http://www.anaoramas.com/,,IX,X,XI,XII,XIII,XIV,,,,,VIII,,,,,63
Oria López,PSOE,"Oria López, María Inmaculada",2,25/02/2020,Socialista,18,Granada,María Inmaculada,370,1973-03-05,['XIV'],inmaculada.oria@congreso.es,www.congreso.es/docu/imgweb/diputados/370_14.jpg,https://twitter.com/inmaoria,,,,,,,,XIV,,,,,,,,,,49
Ortega Domínguez,PSOE,"Ortega Domínguez, José Ramón",1,24/02/2020,Socialista,11,Cádiz,José Ramón,368,1979-05-25,['XIV'],joseramon.ortega@congreso.es,www.congreso.es/docu/imgweb/diputados/368_14.jpg,,,,,,,,,XIV,,,,,,,,,,43
Ortega Smith-Molina,Vox,"Ortega Smith-Molina, Francisco Javier",1,29/11/2019,VOX,28,Madrid,Francisco Javier,326,1968-08-28,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/326_14.jpg,https://twitter.com/Ortega_Smith,,,,,,,XIII,XIV,https://www.instagram.com/javierortegasmith/?hl=es,,,,,,,,,53
Ortiz Galván,PP,"Ortiz Galván, José",1,22/11/2019,Popular en el Congreso,11,Cádiz,José,134,1983-11-16,['XIV'],jose.ortiz@congreso.es,www.congreso.es/docu/imgweb/diputados/134_14.jpg,https://twitter.com/vejer_ortiz,https://www.facebook.com/jose.ortizgalvan,,,,,,,XIV,https://www.instagram.com/pepe_ortiz_vejer/,,,,,,,,,38
Padilla Ruiz,PSOE,"Padilla Ruiz, Esther",2,25/11/2019,Socialista,45,Toledo,Esther,173,1975-06-02,"['XIII', 'XIV']",esther.padilla@congreso.es,www.congreso.es/docu/imgweb/diputados/173_14.jpg,https://twitter.com/estherpadillar,https://www.facebook.com/esther.padillaruiz,,,,,,XIII,XIV,,,,,,,,,,47
Pagès i Massó,JxCat-JUNTS (Junts),"Pagès i Massó, Josep",1,09/03/2021,Plural,8,Barcelona,Josep,379,1972-06-28,['XIV'],ges@congreso.es,www.congreso.es/docu/imgweb/diputados/379_14.jpg,https://twitter.com/jpagesm,,,,,,,,XIV,,,,,,,,,,50
Paniagua Núñez,PP,"Paniagua Núñez, Miguel Ángel",1,26/11/2019,Popular en el Congreso,34,Palencia,Miguel Ángel,240,1964-09-02,"['XI', 'XII', 'XIV']",miguela.paniagua@congreso.es,www.congreso.es/docu/imgweb/diputados/240_14.jpg,https://twitter.com/mapaniagua,https://www.facebook.com/miguelangelpaniaguanunez,,,,XI,XII,,XIV,https://www.instagram.com/miguelangelpaniaguanunez/,,,,,https://www.linkedin.com/in/miguel-angel-paniagua-n%C3%BA%C3%B1ez-62bb0418/,,,,57
Pastor Julián,PP,"Pastor Julián, Ana María",2,19/11/2019,Popular en el Congreso,28,Madrid,Ana María,31,1957-11-11,"['VII', 'VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",a.pastor@congreso.es,www.congreso.es/docu/imgweb/diputados/31_14.jpg,https://twitter.com/anapastorjulian,https://www.facebook.com/anapastorjulian/,,IX,X,XI,XII,XIII,XIV,https://www.instagram.com/anapastorpp/,,,VII,VIII,,,,,64
Pedraja Sáinz,PSOE,"Pedraja Sáinz, Raquel",2,17/02/2020,Socialista,26,Rioja (La),Raquel,362,1993-06-20,['XIV'],raquel.pedraja@congreso.es,www.congreso.es/docu/imgweb/diputados/362_14.jpg,https://twitter.com/raquelpedraja93,,,,,,,,XIV,,,,,,,,,,29
Pedreño Molina,PP,"Pedreño Molina, Juan Luis",1,21/11/2019,Popular en el Congreso,30,Murcia,Juan Luis,132,1969-01-24,['XIV'],juanluis.pedreno@congreso.es,www.congreso.es/docu/imgweb/diputados/132_14.jpg,https://twitter.com/juan_pedreno,,,,,,,,XIV,,,,,,,,,,53
Peña Camarero,PSOE,"Peña Camarero, Esther",2,19/11/2019,Socialista,9,Burgos,Esther,18,1980-07-12,"['XI', 'XII', 'XIII', 'XIV']",esther.pena@congreso.es,www.congreso.es/docu/imgweb/diputados/18_14.jpg,https://twitter.com/estherpcamarero,https://www.facebook.com/estherburgos2013,,,,XI,XII,XIII,XIV,,,,,,,,,,42
Perea i Conillas,PSC-PSOE,"Perea i Conillas, María Mercè",2,26/11/2019,Socialista,8,Barcelona,María Mercè,203,1966-11-22,"['XI', 'XII', 'XIII', 'XIV']",mperea@congreso.es,www.congreso.es/docu/imgweb/diputados/203_14.jpg,https://twitter.com/merceperea,https://www.facebook.com/merce.perea2,http://merceperea.es/,,,XI,XII,XIII,XIV,,,,,,,,,,55
Pérez Abellás,PsdeG-PSOE,"Pérez Abellás, Adolfo",1,19/11/2019,Socialista,32,Ourense,Adolfo,33,1952-09-25,"['XIII', 'XIV']",adolfo.perez@congreso.es,www.congreso.es/docu/imgweb/diputados/33_14.jpg,https://twitter.com/apabellas,,,,,,,XIII,XIV,,,,,,,,,,69
Pérez Díaz,PP,"Pérez Díaz, María Auxiliadora",2,25/11/2019,Popular en el Congreso,35,Palmas (Las),María Auxiliadora,160,1968-05-25,['XIV'],auxiliadora.perez@congreso.es,www.congreso.es/docu/imgweb/diputados/160_14.jpg,https://twitter.com/AuxiPD,,,,,,,,XIV,,,,,,,,,,54
Pérez Merino,UP,"Pérez Merino, María Mercedes",2,07/04/2021,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,28,Madrid,María Mercedes,382,1960-11-18,"['XIII', 'XIV']",mercedes.perez@congreso.es,www.congreso.es/docu/imgweb/diputados/382_14.jpg,https://twitter.com/mercedes18601,,,,,,,XIII,XIV,,,,,,,,,,61
Píriz Maya,PP,"Píriz Maya, Víctor Valentín",1,18/11/2019,Popular en el Congreso,6,Badajoz,Víctor Valentín,9,1975-07-22,"['XII', 'XIII', 'XIV']",victor.piriz@congreso.es,www.congreso.es/docu/imgweb/diputados/9_14.jpg,https://twitter.com/vicpiriz1975,https://www.facebook.com/vicpiriz,,,,,XII,XIII,XIV,https://www.instagram.com/vicpiriz/,,,,,,,,,47
Pisarello Prados,ECP-GUAYEM EL CANVI,"Pisarello Prados, Gerardo",1,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,8,Barcelona,Gerardo,290,1970-08-10,"['XIII', 'XIV']",gerardo.pisarello@congreso.es,www.congreso.es/docu/imgweb/diputados/290_14.jpg,https://twitter.com/G_Pisarello,https://www.facebook.com/GerardoPisarelloPrados/,,,,,,XIII,XIV,,,,,,,,,,52
Pita Cárdenes,UP,"Pita Cárdenes, María del Carmen",2,31/01/2020,Mixto,35,Palmas (Las),María del Carmen,356,1958-08-02,"['XI', 'XII', 'XIII', 'XIV']",meri.pita@congreso.es,www.congreso.es/docu/imgweb/diputados/356_14.jpg,https://twitter.com/meripita44,https://www.facebook.com/profile.php?id=100009144936907,,,,XI,XII,XIII,XIV,,,,,,,,,,64
Pons Sampietro,PSOE,"Pons Sampietro, Pere Joan",1,26/11/2019,Socialista,7,Balears (Illes),Pere Joan,223,1970-07-24,"['XII', 'XIII', 'XIV']",perejoan.pons@congreso.es,www.congreso.es/docu/imgweb/diputados/223_14.jpg,https://twitter.com/perejoanpons,,,,,,XII,XIII,XIV,https://www.instagram.com/perejoanponssampietro/,,,,,,,,,52
Postigo Quintana,PP,"Postigo Quintana, Jesús",1,20/11/2019,Popular en el Congreso,40,Segovia,Jesús,51,1953-06-24,"['XII', 'XIV']",jesus.postigo@congreso.es,www.congreso.es/docu/imgweb/diputados/51_14.jpg,https://twitter.com/JsPostigo,,,,,,XII,,XIV,,,,,,,,,,69
Pozueta Fernández,EH Bildu,"Pozueta Fernández, Isabel",2,20/11/2019,Euskal Herria Bildu,31,Navarra,Isabel,65,1965-09-21,['XIV'],bel.pozueta@congreso.es,www.congreso.es/docu/imgweb/diputados/65_14.jpg,,,,,,,,,XIV,,,,,,,,,,56
Prieto Nieto,PsdeG-PSOE,"Prieto Nieto, Ana",2,20/11/2019,Socialista,27,Lugo,Ana,81,1965-04-03,"['XIII', 'XIV']",ana.prieto@congreso.es,www.congreso.es/docu/imgweb/diputados/81_14.jpg,https://twitter.com/anaprietonieto,https://www.facebook.com/ana.p.nieto.1/,,,,,,XIII,XIV,https://www.instagram.com/anaprietonieto/,,,,,,,,,57
Prohens Rigo,PP,"Prohens Rigo, Margarita",2,26/11/2019,Popular en el Congreso,7,Balears (Illes),Margarita,243,1982-05-24,"['XIII', 'XIV']",marga.prohens@congreso.es,www.congreso.es/docu/imgweb/diputados/243_14.jpg,https://twitter.com/MargaProhens,,,,,,,XIII,XIV,,,,,,,,,,40
Pujol i Farré,ERC-S,"Pujol i Farré, Norma",2,26/11/2019,Republicano,43,Tarragona,Norma,191,1988-02-09,"['XIII', 'XIV']",norma.pujol@congreso.es,www.congreso.es/docu/imgweb/diputados/191_14.jpg,https://twitter.com/Normapujol,,,,,,,XIII,XIV,,,,,,,,,,34
Ramírez Carner,PSC-PSOE,"Ramírez Carner, Arnau",1,26/11/2019,Socialista,8,Barcelona,Arnau,197,1989-02-15,"['XIII', 'XIV']",arnau.ramirez@congreso.es,www.congreso.es/docu/imgweb/diputados/197_14.jpg,https://twitter.com/arnauramirez,https://www.facebook.com/arnau.ramirezcarner,,,,,,XIII,XIV,https://www.instagram.com/arnauramirez/,,,,,,,,,33
Ramírez del Río,Vox,"Ramírez del Río, José",1,21/11/2019,VOX,14,Córdoba,José,93,1973-02-10,"['XIII', 'XIV']",jose.ramirez@congreso.es,www.congreso.es/docu/imgweb/diputados/93_14.jpg,https://twitter.com/joseramirezdel2,,,,,,,XIII,XIV,,,,,,,,,,49
Ramón Utrabo,PSOE,"Ramón Utrabo, Elvira",2,18/11/2019,Socialista,18,Granada,Elvira,8,1966-11-20,"['X', 'XI', 'XII', 'XIII', 'XIV']",elvira.ramon@congreso.es,www.congreso.es/docu/imgweb/diputados/8_14.jpg,https://twitter.com/ElviraRamon,https://www.facebook.com/elvira.ramonutrabo,,,X,XI,XII,XIII,XIV,,,,,,,,,,55
Ramos Esteban,PSOE,"Ramos Esteban, César Joaquín",1,25/11/2019,Socialista,10,Cáceres,César Joaquín,178,1975-03-01,"['XI', 'XII', 'XIII', 'XIV']",cesar.ramos@congreso.es,www.congreso.es/docu/imgweb/diputados/178_14.jpg,https://twitter.com/CesarJRamos,https://www.facebook.com/cesarramosesteban,http://cesarramos.es,,,XI,XII,XIII,XIV,https://www.instagram.com/cesarjramos/,,,,,https://www.linkedin.com/in/cesarjramos/,,,,47
Ramos Rodríguez,PSOE,"Ramos Rodríguez, José Luis",1,26/11/2019,Socialista,21,Huelva,José Luis,218,1970-07-07,"['XIII', 'XIV']",ramosrodri@congreso.es,www.congreso.es/docu/imgweb/diputados/218_14.jpg,https://twitter.com/JosLuisRamosRo2,,,,,,,XIII,XIV,,,,,,,,,,52
Raya Rodríguez,PSOE,"Raya Rodríguez, María Tamara",2,21/11/2019,Socialista,38,S/C Tenerife,María Tamara,112,1972-08-27,"['XI', 'XII', 'XIII', 'XIV']",tamara.raya@congreso.es,www.congreso.es/docu/imgweb/diputados/112_14.jpg,https://twitter.com/tamarayar,https://www.facebook.com/tamara.raya.1,,,,XI,XII,XIII,XIV,,,,,,,,,,49
Redondo Calvillo,PP,"Redondo Calvillo, María de la O",2,21/11/2019,Popular en el Congreso,14,Córdoba,María de la O,106,1972-04-04,['XIV'],mariadelao.redondo@congreso.es,www.congreso.es/docu/imgweb/diputados/106_14.jpg,https://twitter.com/mdelaoredondo,,,,,,,,XIV,,,,,,,,,,50
Rego Candamil,BNG,"Rego Candamil, Néstor",1,19/11/2019,Plural,15,Coruña (A),Néstor,40,1962-04-02,['XIV'],,www.congreso.es/docu/imgweb/diputados/40_14.jpg,https://twitter.com/NestorRego,https://www.facebook.com/nestor.rego,,,,,,,XIV,,,,,,,,,,60
Renau Martínez,PSOE,"Renau Martínez, Germán",1,20/11/2019,Socialista,12,Castellón/Castelló,Germán,52,1978-03-24,"['XIII', 'XIV']",german.renau@congreso.es,www.congreso.es/docu/imgweb/diputados/52_14.jpg,https://twitter.com/germanrenau,,,,,,,XIII,XIV,,,,,,,,,,44
Requejo Novoa,Vox,"Requejo Novoa, Pedro Jesús",1,21/11/2019,VOX,49,Zamora,Pedro Jesús,85,1964-06-24,['XIV'],pedroj.requejo@congreso.es,www.congreso.es/docu/imgweb/diputados/85_14.jpg,https://twitter.com/Mazureque,https://www.facebook.com/Pedro-Requejo-Novoa-diputado-por-Zamora-101117498024684/,,,,,,,XIV,,,,,,,,,,58
Requena Ruiz,PP,"Requena Ruiz, Juan Diego",1,20/11/2019,Popular en el Congreso,23,Jaén,Juan Diego,79,1980-11-24,['XIV'],jdiegorequena@congreso.es,www.congreso.es/docu/imgweb/diputados/79_14.jpg,https://twitter.com/JDRequenaRuiz,https://www.facebook.com/juan.d.ruiz.71,,,,,,,XIV,https://www.instagram.com/juandiego_requena/,,,,,,,,,41
Riolobos Regadera,PP,"Riolobos Regadera, Carmen",2,18/11/2019,Popular en el Congreso,45,Toledo,Carmen,7,,"['XIII', 'XIV']",carmen.riolobos@congreso.es,www.congreso.es/docu/imgweb/diputados/7_14.jpg,https://twitter.com/CarmenRiolobos,https://www.facebook.com/carmen.riolobosregadera.5,,,,,,XIII,XIV,https://www.instagram.com/carmenriolobos,,,,,https://www.linkedin.com/in/carmen-riolobos-regadera-a1697190/,,,,
Robles López,Vox,"Robles López, Joaquín",1,26/11/2019,VOX,30,Murcia,Joaquín,246,1964-06-08,"['XIII', 'XIV']",joaquin.robles@congreso.es,www.congreso.es/docu/imgweb/diputados/246_14.jpg,https://twitter.com/JoaquinRobles55,,,,,,,XIII,XIV,,,,,,,,,,58
Rodríguez Almeida,Vox,"Rodríguez Almeida, Andrés Alberto",1,27/11/2019,VOX,35,Palmas (Las),Andrés Alberto,256,1978-02-22,['XIV'],alberto.ra@congreso.es,www.congreso.es/docu/imgweb/diputados/256_14.jpg,,,,,,,,,XIV,,,,,,,,,,44
Rodríguez Gómez,PSOE,"Rodríguez Gómez, María del Pilar",2,27/11/2019,Socialista,21,Huelva,María del Pilar,273,1975-03-26,['XIV'],pilar.rodriguez@congreso.es,www.congreso.es/docu/imgweb/diputados/273_14.jpg,,,,,,,,,XIV,,,,,,,,,,47
Rodríguez Gómez de Celis,PSOE,"Rodríguez Gómez de Celis, Alfonso",1,25/11/2019,Socialista,41,Sevilla,Alfonso,168,1970-07-29,"['XIII', 'XIV']",alfonso.rodriguez@congreso.es,www.congreso.es/docu/imgweb/diputados/168_14.jpg,https://twitter.com/gomezdcelis,,https://rodriguezgomezdecelis.wordpress.com/,,,,,XIII,XIV,https://www.instagram.com/gomezdcelis/,,,,,,,,,52
Rodríguez Herrer,PP,"Rodríguez Herrer, María Elvira",2,21/11/2019,Popular en el Congreso,28,Madrid,María Elvira,123,1949-05-15,"['VIII', 'X', 'XIV']",elvira.rodriguez@congreso.es,www.congreso.es/docu/imgweb/diputados/123_14.jpg,https://twitter.com/erodriguez_2019,,,,X,,,,XIV,,,,,VIII,,,,,73
Rodríguez Salas,PSOE,"Rodríguez Salas, José Antonio",1,18/11/2019,Socialista,18,Granada,José Antonio,6,1965-10-20,"['XIII', 'XIV']",joseantoniojun@congreso.es,www.congreso.es/docu/imgweb/diputados/6_14.jpg,https://twitter.com/JoseantonioJun,https://www.facebook.com/JoseantonioJun/,,,,,,XIII,XIV,https://www.instagram.com/joseantoniojun/,,,,,,https://www.youtube.com/user/JoseantonioJUN,,,56
Rojas García,PP,"Rojas García, Carlos",1,26/11/2019,Popular en el Congreso,18,Granada,Carlos,242,1970-09-23,"['XI', 'XII', 'XIII', 'XIV']",carlos.rojas@congreso.es,www.congreso.es/docu/imgweb/diputados/242_14.jpg,https://twitter.com/CarlosRojas_PPA,https://www.facebook.com/Carlos-Rojas-Garc%C3%ADa-166753193370543,,,,XI,XII,XIII,XIV,https://www.instagram.com/carlosrojas_mot/,,,,,,,,,51
Romero Hernández,PP,"Romero Hernández, Carmelo",1,26/11/2019,Popular en el Congreso,21,Huelva,Carmelo,241,1958-10-17,"['X', 'XI', 'XII', 'XIV']",carmelo.romero@congreso.es,www.congreso.es/docu/imgweb/diputados/241_14.jpg,https://twitter.com/cromeroher,,,,X,XI,XII,,XIV,,,,,,,,,,63
Romero Sánchez,PP,"Romero Sánchez, Rosa María",2,19/11/2019,Popular en el Congreso,13,Ciudad Real,Rosa María,36,1970-02-14,"['VII', 'X', 'XI', 'XII', 'XIII', 'XIV']",rosa.romero@congreso.es,www.congreso.es/docu/imgweb/diputados/36_14.jpg,https://twitter.com/rosaromerocr,https://www.facebook.com/rosaromerocr,,,X,XI,XII,XIII,XIV,https://www.instagram.com/rosaromerocr/,,,VII,,,,,,52
Romero Vilches,Vox,"Romero Vilches, María de los Reyes",2,25/11/2019,VOX,41,Sevilla,María de los Reyes,174,1967-12-30,"['XIII', 'XIV']",reyes.romero@congreso.es,www.congreso.es/docu/imgweb/diputados/174_14.jpg,https://twitter.com/rromerovilches,,,,,,,XIII,XIV,,,,,,,,,,54
Rosety Fernández de Castro,Vox,"Rosety Fernández de Castro, Agustín",1,27/11/2019,VOX,11,Cádiz,Agustín,255,1947-03-26,"['XIII', 'XIV']",agustin.rosety@congreso.es,www.congreso.es/docu/imgweb/diputados/255_14.jpg,https://twitter.com/AgustinRosety,,,,,,,XIII,XIV,,,,,,,,,,75
Rosique i Saltor,ERC-S,"Rosique i Saltor, Marta",2,26/11/2019,Republicano,8,Barcelona,Marta,185,1996-03-16,"['XIII', 'XIV']",marta.rosique@congreso.es,www.congreso.es/docu/imgweb/diputados/185_14.jpg,https://twitter.com/martarosiq,,,,,,,XIII,XIV,https://instagram.com/martarosiq,,,,,,,,,26
Ros Martínez,PSOE,"Ros Martínez, Susana",2,20/11/2019,Socialista,12,Castellón/Castelló,Susana,53,1969-10-31,"['IX', 'X', 'XIII', 'XIV']",susana.ros@congreso.es,www.congreso.es/docu/imgweb/diputados/53_14.jpg,https://twitter.com/susana_ros,https://www.facebook.com/susanarosmartinez,,IX,X,,,XIII,XIV,https://www.instagram.com/ros_susana_/,,,,,,,,,52
Rueda Perelló,Vox,"Rueda Perelló, Patricia",2,20/11/2019,VOX,29,Málaga,Patricia,75,1976-10-20,"['XIII', 'XIV']",patricia.rueda@congreso.es,www.congreso.es/docu/imgweb/diputados/75_14.jpg,https://twitter.com/_patricia_rueda,,,,,,,XIII,XIV,,,,,,,,,,45
Rufián Romero,ERC-S,"Rufián Romero, Gabriel",1,26/11/2019,Republicano,8,Barcelona,Gabriel,187,1982-02-08,"['XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/187_14.jpg,https://twitter.com/gabrielrufian,https://www.facebook.com/gabriel.rufianromero,,,,XI,XII,XIII,XIV,,,,,,,,,,40
Ruiz de Pinedo Undiano,EH Bildu,"Ruiz de Pinedo Undiano, Iñaki",1,20/11/2019,Euskal Herria Bildu,1,Araba/Álava,Iñaki,64,1954-07-23,"['XIII', 'XIV']",inaki.ruizdepinedo@congreso.es,www.congreso.es/docu/imgweb/diputados/64_14.jpg,https://twitter.com/RuizdePinedo,,,,,,,XIII,XIV,,,,,,,,,,68
Ruiz i Carbonell,PSC-PSOE,"Ruiz i Carbonell, Joan",1,26/11/2019,Socialista,43,Tarragona,Joan,209,1954-08-10,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",jruiz@congreso.es,www.congreso.es/docu/imgweb/diputados/209_14.jpg,https://twitter.com/jruizcarbonell,https://es-es.facebook.com/joan.r.carbonell,,IX,X,XI,XII,XIII,XIV,,,,,,,,,,68
Ruiz Navarro,Vox,"Ruiz Navarro, Eduardo Luis",1,26/11/2019,VOX,3,Alicante/Alacant,Eduardo Luis,217,1972-12-05,['XIV'],eduardo.ruiznavarro@congreso.es,www.congreso.es/docu/imgweb/diputados/217_14.jpg,,,,,,,,,XIV,,,,,,,,,,49
Ruiz Solás,Vox,"Ruiz Solás, María de la Cabeza",2,28/11/2019,VOX,28,Madrid,María de la Cabeza,301,1970-09-13,"['XIII', 'XIV']",maria.ruizsolas@congreso.es,www.congreso.es/docu/imgweb/diputados/301_14.jpg,https://twitter.com/ruizsolas,,,,,,,XIII,XIV,,,,,,,,,,51
Saavedra Muñoz,UP,"Saavedra Muñoz, Marisa",2,02/12/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,12,Castellón/Castelló,Marisa,348,1962-02-14,"['XIII', 'XIV']",marisa.saavedra@congreso.es,www.congreso.es/docu/imgweb/diputados/348_14.jpg,https://twitter.com/MarisaSaavedraM,https://www.facebook.com/marisa.saavedramunoz,,,,,,XIII,XIV,,,,,,,,,,60
Sabanés Nadal,MÁS PAÍS-EQUO,"Sabanés Nadal, Inés",2,26/11/2019,Plural,28,Madrid,Inés,234,1953-06-24,"['VI', 'XIV']",ines.sabanes@congreso.es,www.congreso.es/docu/imgweb/diputados/234_14.jpg,https://twitter.com/isabanes,,,,,,,,XIV,,,VI,,,,,,,69
Sáez Alonso-Muñumer,Vox,"Sáez Alonso-Muñumer, Pablo",1,27/11/2019,VOX,47,Valladolid,Pablo,278,1964-06-11,"['XIII', 'XIV']",pablo.saez@congreso.es,www.congreso.es/docu/imgweb/diputados/278_14.jpg,https://twitter.com/PabloSaezAM,,,,,,,XIII,XIV,,,,,,,,,,58
Sagastizabal Unzetabarrenetxea,EAJ-PNV,"Sagastizabal Unzetabarrenetxea, Idoia",2,21/11/2019,Vasco (EAJ-PNV),48,Bizkaia,Idoia,98,1972-09-22,"['XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/98_14.jpg,https://twitter.com/Idosagasti,,,,,,XII,XIII,XIV,,,,,,,,,,49
Sahuquillo García,PSOE,"Sahuquillo García, Luis Carlos",1,18/11/2019,Socialista,16,Cuenca,Luis Carlos,2,1966-01-11,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",lcsahuquillo@congreso.es,www.congreso.es/docu/imgweb/diputados/2_14.jpg,https://twitter.com/lcsahuquillo,,,IX,X,XI,XII,XIII,XIV,,,,,,,,,,56
Salvador i Duch,ERC-S,"Salvador i Duch, Jordi",1,26/11/2019,Republicano,43,Tarragona,Jordi,184,1964-07-23,"['XI', 'XII', 'XIII', 'XIV']",jsalvador@congreso.es,www.congreso.es/docu/imgweb/diputados/184_14.jpg,https://twitter.com/jsalvadorduch,https://www.facebook.com/jordisalvadorduch,,,,XI,XII,XIII,XIV,,,,,,,,,,58
Salvá Verd,Vox,"Salvá Verd, Antonio",1,25/11/2019,VOX,7,Balears (Illes),Antonio,162,1952-04-24,['XIV'],,www.congreso.es/docu/imgweb/diputados/162_14.jpg,,,,,,,,,XIV,,,,,,,,,,70
Sánchez del Real,Vox,"Sánchez del Real, Víctor Manuel",1,26/11/2019,VOX,6,Badajoz,Víctor Manuel,195,1969-11-23,"['XIII', 'XIV']",victor.sanchez@congreso.es,www.congreso.es/docu/imgweb/diputados/195_14.jpg,https://twitter.com/sanchezdelreal,https://www.facebook.com/victor.sanchezdelreal/,http://www.victorsanchezdelreal.com,,,,,XIII,XIV,https://instagram.com/victorsanchezdelreal,,,,,https://www.linkedin.com/in/victorsanchezdelreal/,https://www.youtube.com/user/sanchezdelreal,,,52
Sánchez Escobar,PSOE,"Sánchez Escobar, Mariano",1,26/11/2019,Socialista,6,Badajoz,Mariano,227,1964-10-12,"['XIII', 'XIV']",mariano.sanchez@congreso.es,www.congreso.es/docu/imgweb/diputados/227_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,57
Sánchez García,Vox,"Sánchez García, José María",1,28/11/2019,VOX,3,Alicante/Alacant,José María,322,1963-03-11,['XIV'],,www.congreso.es/docu/imgweb/diputados/322_14.jpg,,,,,,,,,XIV,,,,,,,,,,59
Sánchez Jódar,PSOE,"Sánchez Jódar, Marisol",2,27/11/2019,Socialista,30,Murcia,Marisol,276,1979-09-09,"['VIII', 'XIII', 'XIV']",soledad.sanchez@congreso.es,www.congreso.es/docu/imgweb/diputados/276_14.jpg,https://twitter.com/msolsj,,,,,,,XIII,XIV,,,,,VIII,,,,,42
Sánchez Pérez,PP,"Sánchez Pérez, César",1,26/11/2019,Popular en el Congreso,3,Alicante/Alacant,César,249,1978-08-26,"['XIII', 'XIV']",cesar.sanchez@congreso.es,www.congreso.es/docu/imgweb/diputados/249_14.jpg,https://twitter.com/sanchezcesar,,,,,,,XIII,XIV,https://www.instagram.com/sanchezcesar/,,,,,,,,,43
Sánchez Pérez-Castejón,PSOE,"Sánchez Pérez-Castejón, Pedro",1,27/11/2019,Socialista,28,Madrid,Pedro,274,1972-02-29,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",pedro.sanchez@congreso.es,www.congreso.es/docu/imgweb/diputados/274_14.jpg,https://twitter.com/sanchezcastejon,https://www.facebook.com/pedro.sanchezperezcastejon/,https://sanchezcastejon.es,IX,X,XI,XII,XIII,XIV,https://www.instagram.com/sanchezcastejon/,,,,,,,,,50
Sánchez Serna,UP,"Sánchez Serna, Javier",1,20/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,30,Murcia,Javier,67,1985-07-23,"['XI', 'XII', 'XIII', 'XIV']",j.sanchezserna@congreso.es,www.congreso.es/docu/imgweb/diputados/67_14.jpg,https://twitter.com/J_Sanchez_Serna,https://www.facebook.com/JavierSanchezSernaEducacion/,,,,XI,XII,XIII,XIV,https://www.instagram.com/javiersanchezserna/,,,,,,,,,37
Sancho Guardia,PSOE,"Sancho Guardia, Alfredo",1,28/11/2019,Socialista,22,Huesca,Alfredo,312,1965-05-17,['XIV'],alfredosancho@congreso.es,www.congreso.es/docu/imgweb/diputados/312_14.jpg,,,,,,,,,XIV,,,,,,,,,,57
